n,theta_nw,theta_bh,t_nw,t_bh,theta_nw_plus_t_nw,theta_bh_plus_t_bh,ratio
10,9.369998588226736e-05,0.0005668000085279346,0.0511259000049904,0.00981560000218451,0.051219599990872666,0.010382400010712445,4.933310211321549
10,0.0016208000015467405,0.0006031999946571887,0.02866020001238212,0.017479100002674386,0.03028100001392886,0.018082299997331575,1.6746210392703065
10,0.00011110000195913017,0.0007752000237815082,0.03630100001464598,0.0031336999963968992,0.03641210001660511,0.003908900020178407,9.315178139282061
10,9.509999654255807e-05,0.0019044000073336065,0.03754279998247512,0.024802900006761774,0.037637899979017675,0.02670730001409538,1.4092738674127832
10,0.00014710001414641738,0.0016094000020530075,0.03193900000769645,0.01049129999591969,0.03208610002184287,0.012100699997972697,2.6515904061102615
40,0.0006340999971143901,0.012900500005343929,3.3168767000024673,0.7179743999731727,3.3175107999995816,0.7308748999785166,4.5390952680097465
40,0.0004015000013168901,0.010836600005859509,3.1202209999901243,0.7045997000241186,3.120622499991441,0.7154363000299782,4.3618453520749245
40,0.0003569000109564513,0.010620899993227795,3.428865099995164,0.586477200005902,3.4292220000061207,0.5970980999991298,5.743146729174182
40,0.00044639999396167696,0.011660999996820465,3.138831099990057,0.6185422999842558,3.1392774999840185,0.6302032999810763,4.981372677798236
40,0.00045270001282915473,0.010688499984098598,3.5244497999956366,0.5037701000110246,3.5249025000084657,0.5144585999951232,6.851673779079365
